tiff_filename,category,id,image_name,latitude,longitude,altitude,roll,pitch,yaw,accuracy horizontal,accuracy vertical
data/47grad_nah_TIFF/9327.TIFF,47_grad,9327,DSC09327.JPG,49.39347806451834,8.187183819229777,203.083,0.15,27.922,94.409,0.02,0.05
data/47grad_nah_TIFF/9328.TIFF,47_grad,9328,DSC09328.JPG,49.39346056544021,8.18718505863974,203.09,0.127,27.897,94.484,0.02,0.05
data/47grad_nah_TIFF/9329.TIFF,47_grad,9329,DSC09329.JPG,49.39343502738426,8.187188305032862,203.087,0.157,27.848,94.2,0.02,0.05
data/47grad_nah_TIFF/9330.TIFF,47_grad,9330,DSC09330.JPG,49.39340494532024,8.187190991831649,203.083,0.075,27.893,92.56,0.02,0.05
data/47grad_nah_TIFF/9331.TIFF,47_grad,9331,DSC09331.JPG,49.393371495597705,8.187192948825075,203.06,-0.024,27.904,92.411,0.02,0.05
data/47grad_nah_TIFF/9332.TIFF,47_grad,9332,DSC09332.JPG,49.39333697261451,8.187194613224763,203.045,0.013,27.941,92.483,0.02,0.05
data/47grad_nah_TIFF/9333.TIFF,47_grad,9333,DSC09333.JPG,49.3933021150972,8.187196361475799,203.042,-0.059,27.858,92.651,0.02,0.05
data/47grad_nah_TIFF/9334.TIFF,47_grad,9334,DSC09334.JPG,49.393273008257694,8.187198377915998,203.044,-0.062,27.937,92.713,0.02,0.05
data/47grad_nah_TIFF/9335.TIFF,47_grad,9335,DSC09335.JPG,49.39324921422831,8.187199701475746,203.055,-0.084,27.886,92.779,0.02,0.05
data/47grad_nah_TIFF/9336.TIFF,47_grad,9336,DSC09336.JPG,49.39323048440133,8.187200598192227,203.058,-0.023,27.826,92.716,0.02,0.05
data/47grad_nah_TIFF/9337.TIFF,47_grad,9337,DSC09337.JPG,49.39321624489874,8.187201358557308,203.054,0.042,27.86,92.873,0.02,0.05
data/47grad_nah_TIFF/9338.TIFF,47_grad,9338,DSC09338.JPG,49.39320451310092,8.187202139009575,203.051,0.085,27.917,92.909,0.02,0.05
data/47grad_nah_TIFF/9339.TIFF,47_grad,9339,DSC09339.JPG,49.39319313495569,8.18720357468619,203.043,0.098,27.871,92.756,0.02,0.05
data/47grad_nah_TIFF/9340.TIFF,47_grad,9340,DSC09340.JPG,49.39318141631736,8.187204494929222,203.044,0.111,27.873,92.919,0.02,0.05
data/47grad_nah_TIFF/9341.TIFF,47_grad,9341,DSC09341.JPG,49.3931696298258,8.18720530237973,203.051,0.106,27.906,92.899,0.02,0.05
data/47grad_nah_TIFF/9342.TIFF,47_grad,9342,DSC09342.JPG,49.39315839769619,8.187206174931566,203.065,0.122,27.913,92.71,0.02,0.05
data/47grad_nah_TIFF/9343.TIFF,47_grad,9343,DSC09343.JPG,49.39314608412484,8.187207332738785,203.055,0.12,27.902,92.722,0.02,0.05
data/47grad_nah_TIFF/9344.TIFF,47_grad,9344,DSC09344.JPG,49.3931330082582,8.187208190975033,203.051,0.104,27.813,92.727,0.02,0.05
data/47grad_nah_TIFF/9345.TIFF,47_grad,9345,DSC09345.JPG,49.39311824874207,8.187209039106435,203.039,0.126,27.861,92.72,0.02,0.05
data/47grad_nah_TIFF/9346.TIFF,47_grad,9346,DSC09346.JPG,49.39310261168698,8.18720991496366,203.035,0.115,27.845,92.708,0.02,0.05
data/47grad_nah_TIFF/9347.TIFF,47_grad,9347,DSC09347.JPG,49.393086471554334,8.187210963529422,203.023,0.037,27.833,92.598,0.02,0.05
data/47grad_nah_TIFF/9348.TIFF,47_grad,9348,DSC09348.JPG,49.393069845597125,8.187211707027073,203.033,0.058,27.81,92.801,0.02,0.05
data/47grad_nah_TIFF/9349.TIFF,47_grad,9349,DSC09349.JPG,49.39305262080248,8.18721303705229,203.046,0.049,27.84,92.668,0.02,0.05
data/47grad_nah_TIFF/9350.TIFF,47_grad,9350,DSC09350.JPG,49.39303499541737,8.187214467630227,203.05,0.052,27.867,92.73,0.02,0.05
data/47grad_nah_TIFF/9351.TIFF,47_grad,9351,DSC09351.JPG,49.39301760043352,8.187215626354295,203.05,0.065,27.822,92.752,0.02,0.05
data/47grad_nah_TIFF/9352.TIFF,47_grad,9352,DSC09352.JPG,49.39299988573256,8.187216573912382,203.054,0.046,27.881,92.698,0.02,0.05
data/47grad_nah_TIFF/9353.TIFF,47_grad,9353,DSC09353.JPG,49.39298207437659,8.187217605088957,203.061,0.08,27.816,92.769,0.02,0.05
data/47grad_nah_TIFF/9354.TIFF,47_grad,9354,DSC09354.JPG,49.39296338265325,8.187219580867021,203.069,0.074,27.794,92.8,0.02,0.05
data/47grad_nah_TIFF/9355.TIFF,47_grad,9355,DSC09355.JPG,49.39294395589377,8.18722181063961,203.054,0.077,27.896,92.778,0.02,0.05
data/47grad_nah_TIFF/9356.TIFF,47_grad,9356,DSC09356.JPG,49.392923458747205,8.18722381061377,203.052,0.064,27.839,92.767,0.02,0.05
data/47grad_nah_TIFF/9357.TIFF,47_grad,9357,DSC09357.JPG,49.39290240072056,8.187225938329728,203.054,0.019,27.905,92.543,0.02,0.05
data/47grad_nah_TIFF/9358.TIFF,47_grad,9358,DSC09358.JPG,49.39288187617117,8.187228120971701,203.059,0.026,27.803,92.694,0.02,0.05
data/47grad_nah_TIFF/9359.TIFF,47_grad,9359,DSC09359.JPG,49.3928606604304,8.187230765835931,203.035,0.045,27.941,92.656,0.02,0.05
data/47grad_nah_TIFF/9360.TIFF,47_grad,9360,DSC09360.JPG,49.39283874512388,8.18723324694579,203.039,0.038,27.857,92.611,0.02,0.05
data/47grad_nah_TIFF/9361.TIFF,47_grad,9361,DSC09361.JPG,49.3928169562742,8.187235703541038,203.049,0.054,27.874,92.688,0.02,0.05
data/47grad_nah_TIFF/9362.TIFF,47_grad,9362,DSC09362.JPG,49.392795640696896,8.187237618641813,203.053,0.062,27.803,92.829,0.02,0.05
data/47grad_nah_TIFF/9363.TIFF,47_grad,9363,DSC09363.JPG,49.392774469803136,8.187239726719337,203.056,-0.057,27.909,92.311,0.02,0.05
